"school","official_website","city","state","association","division","conference","head_coach","tuition","size_category","enrollment","religious_affiliation"
"University of Alabama – Huntsville","https://www.uah.edu/","Huntsville","Alabama","NCAA",2,"Peach Belt Conference","Jordan Warren",24662,"Medium",5644,"None"
"University of Bridgeport","https://www.bridgeport.edu/","Bridgeport","Connecticut","NCAA",2,"Central Atlantic Collegiate Conference","Ryan McAleavey",35760,"Small",1255,"None"
"University of Dallas","","Irving","Texas","NCAA",3,"Southern Collegiate Athletic Conference","","","","",""
"University of Delaware","https://www.udel.edu/","Newark","Delaware","NCAA",1,"Colonial Athletic Association","Trey Wilkes",39720,"Large",18084,"None"
"University of Denver","https://www.du.edu/","Denver","Colorado","NCAA",1,"The Summit League","Matt Brown",59340,"Medium",5755,"None"
"University of Detroit Mercy","https://www.udmercy.edu/","Detroit","Michigan","NCAA",1,"Horizon League","Charlie Hayes",32300,"Medium",2129,"Catholic"
"University of Dubuque","https://www.dbq.edu//","Dubuque","Iowa","NCAA",3,"Iowa Intercollegiate Athletic Conference","Tyler Thomas",40065,"Small",1256,"Presbyterian"
"University of Hartford","https://www.hartford.edu/","West Hartford","Connecticut","NCAA",3,"America East Conference","Ryan Martin",47647,"Medium",3841,"None"
"University of Health Sciences & Pharmacy in St. Louis (UHSP)","https://www.uhsp.edu/","Saint Louis","Missouri","NAIA","","American Midwest Conference","Christian Diaz",31950,"Small",271,"None"
"University of Indianapolis","https://uindy.edu/","Indianapolis","Indiana","NCAA",2,"Great Lakes Valley Conference","Greg Stocks",36504,"Medium",2848,"None"
"University of Lynchburg","https://www.lynchburg.edu/","Lynchburg","Virginia","NCAA",3,"Old Dominion Athletic Conference","Steve Koudelka",37850,"Small",1559,"Calvinist/Reformed"
"University of Maine at Farmington","","Farmington","Maine","NCAA",3,"North Atlantic Conference","","","","",""
"University of Mary Washington","https://www.umw.edu/","Fredericksburg","Virginia","NCAA",3,"Capital Athletic Conference","Kyle Hofstaedter",42094,"Medium",3037,"None"
"University of Maryland","https://www.umd.edu/","College Park","Maryland","NCAA",1,"Big Ten Conference","John Tillman",40306,"Very Large",28498,"None"
"University of Maryland – Baltimore County","https://umbc.edu/","Baltimore","Maryland","NCAA",1,"America East Conference","Ryan Moran",30308,"Medium",9073,"None"
"University of Massachusetts – Amherst","https://www.umass.edu/","Amherst","Massachusetts","NCAA",1,"Atlantic 10 Conference","Kyle Smith",39293,"Very Large",22537,"None"
"University of Massachusetts – Boston","https://www.umb.edu/","Boston","Massachusetts","NCAA",3,"Little East Conference","Tyler Low",38125,"Medium",9957,"None"
"University of Massachusetts – Lowell","https://www.uml.edu/","Lowell","Massachusetts","NCAA",1,"America East Conference","Drew Kelleher",35396,"Medium",9450,"None"
"University of Michigan","https://umich.edu/","Ann Arbor","Michigan","NCAA",1,"Big Ten Conference","Kevin Conry",58072,"Very Large",32345,"None"
"University of Michigan – Dearborn","https://umdearborn.edu/","Dearborn","Michigan","NAIA","","Wolverine-Hoosier Athletic Conference","Jason Watts",31360,"Medium",4815,"None"
"University of Montevallo","https://www.montevallo.edu/","Montevallo","Alabama","NCAA",2,"Peach Belt Conference","Jason Lange",26730,"Small",1936,"None"
"University of Mount Olive","https://umo.edu/","Mount Olive","North Carolina","NCAA",2,"Conference Carolinas","Dylan Price",25950,"Small",1244,"Baptist"
"University of Mount Union","https://www.mountunion.edu/","Alliance","Ohio","NCAA",3,"Ohio Athletic Conference","Dominic Perella",35400,"Small",1779,"Methodist"
"University of New England","https://www.une.edu/","Biddeford","Maine","NCAA",3,"Commonwealth Coast Conference","Nick Neugebauer",42650,"Medium",2191,"None"
"University of North Carolina at Chapel Hill","https://admissions.unc.edu/","Chapel Hill","North Carolina","NCAA",1,"Atlantic Coast Conference","Joe Breschi",37360,"Large",19939,"None"
"University of Northwestern – St. Paul","https://www.unwsp.edu/","Saint Paul","Minnesota","NCAA",3,"Upper Midwest Athletic Conference","Jay Mayes",36830,"Small",1847,"Christian (General)"
"University of Notre Dame","https://www.nd.edu/","Notre Dame","Indiana","NCAA",1,"Division I-A Independents","Kevin Corrigan",67607,"Medium",8866,"Catholic"
"University of Pennsylvania – Penn","https://www.upenn.edu/","Philadelphia","Pennsylvania","NCAA",1,"Ivy League","Taylor Wray",66104,"Large",10610,"None"
"University of Richmond","https://www.richmond.edu/","","Virginia","NCAA",1,"Atlantic 10 Conference","Dan Chemotti",65230,"Medium",2942,"None"
"University of Saint Joseph","https://www.usj.edu/","West Hartford","Connecticut","NCAA",3,"Great Northeast Athletic Conference","Will Cullen",48386,"Small",812,"Catholic"
"University of Saint Mary","https://www.stmary.edu/","Leavenworth","Kansas","NAIA","","Kansas Collegiate Athletic Conference","Mike Tyrrell",33890,"Small",806,"Catholic"
"University of Scranton","https://www.scranton.edu/","Scranton","Pennsylvania","NCAA",3,"Landmark Conference","Michael Hofmeister",53208,"Medium",3511,"Catholic"
"University of Southern Maine","https://usm.maine.edu/","Portland","Maine","NCAA",3,"Little East Conference","Sam Manders",27930,"Medium",3567,"None"
"University of Tampa","https://www.ut.edu/","Tampa","Florida","NCAA",2,"Sunshine State Conference","Ryan Sullivan",33424,"Medium",9925,"None"
"University of the Cumberlands","https://www.ucumberlands.edu/","Williamsburg","Kentucky","NAIA","","Mid-South Conference","Kody Swann",9875,"Medium",2796,"Baptist"
"University of Utah","https://www.utah.edu/","Salt Lake City","Utah","NCAA",1,"Pacific-12 Conference","Andrew McMinn",29837,"Very Large",22374,"None"
"University of Vermont","https://www.uvm.edu/","Burlington","Vermont","NCAA",1,"America East Conference","Chris Feifs",44646,"Large",11410,"None"
"University of Virginia","https://www.virginia.edu/","Charlottesville","Virginia","NCAA",1,"Atlantic Coast Conference","Lars Tiffany",58014,"Large",16829,"None"
"Ursinus College","https://www.ursinus.edu/","Collegeville","Pennsylvania","NCAA",3,"Centennial Conference","Ryan Burke",59196,"Small",1473,"None"
"Utica University","https://www.utica.edu/","Utica","New York","NCAA",3,"Empire 8 Athletic Conference","Sean Behan",27380,"Medium",2255,"None"
"Vassar College","https://www.vassar.edu/","Poughkeepsie","New York","NCAA",3,"Liberty League","John McCreery",73275,"Medium",2406,"None"
"Villanova University","https://www.villanova.edu/","Villanova","Pennsylvania","NCAA",1,"Big East Conference","Mike Corrado",66838,"Medium",7087,"Catholic"
"Virginia Military Institute – VMI","https://www.vmi.edu/","Lexington","Virginia","NCAA",1,"Big South Conference","Taylor Mendoza",51186,"Small",1560,"None"
"Virginia Wesleyan University","https://www.vwu.edu/","Norfolk","Virginia","NCAA",3,"Old Dominion Athletic Conference","Sam Jones",36010,"Small",1180,"None"
"Wabash College","https://www.wabash.edu/","Crawfordsville","Indiana","NCAA",3,"North Coast Athletic Conference","Nate Webber",51300,"Small",900,"None"
"Wagner College","https://wagner.edu/","Staten Island","New York","NCAA",1,"Northeast Conference","Will Fox",52000,"Small",1544,"None"
"Walsh University","https://www.walsh.edu/","North Canton","Ohio","NCAA",2,"Great Midwest Athletic Conference","David Salter",34595,"Small",1224,"Catholic"
"Warren Wilson College","https://www.warren-wilson.edu/","Swannanoa","North Carolina","NCAA",3,"NCAA Division III & USCAA","Jeffrey Woodside",25500,"Small",725,"None"
"Washington & Jefferson College","https://www.washjeff.edu/","Washington","Pennsylvania","NCAA",3,"Presidents' Athletic Conference","Jacob Bow",28185,"Small",1306,"None"
"Washington & Lee University","https://www.wlu.edu/","Lexington","Virginia","NCAA",3,"Old Dominion Athletic Conference","(Offensive Coordinator)Will Garrett",68045,"Small",1887,"None"
"Washington College","https://www.washcoll.edu/","Chestertown","Maryland","NCAA",3,"Centennial Conference","John Nostrant",56988,"Small",893,"None"
"Webber International University","https://www.webber.edu/","Babson Park","Florida","NAIA","","Sun Conference","Chris Burdick",32150,"Small",844,"None"
"Wentworth Institute of Technology","https://wit.edu/","Boston","Massachusetts","NCAA",3,"Commonwealth Coast Conference","Dan Russo",40410,"Medium",3464,"None"
"Wesleyan University","https://www.wesleyan.edu/","Middletown","Connecticut","NCAA",3,"New England Small College Athletic Conference","John Raba",67316,"Medium",2969,"None"
"Westcliff University","https://www.westcliff.edu/","Irvine","California","NAIA","","California Pacific Conference","Michael Song",21000,"Small",1363,"None"
"Western Connecticut State University","https://www.wcsu.edu/","Danbury","Connecticut","NCAA",3,"Freedom Football Conference","(Defensive Coordinator)Ryan Cavanagh",16095,"Medium",3234,"None"
"Western New England University","https://wne.edu/","Springfield","Massachusetts","NCAA",3,"Commonwealth Coast Football","John Klepacki",46430,"Medium",2433,"None"
"Westminster College – Pennsylvania","https://www.westminster.edu/","New Wilmington","Pennsylvania","NCAA",3,"Presidents' Athletic Conference","Anthony Accardi",39540,"Small",1050,"Presbyterian"
"Westminster College – Utah","https://westminsteru.edu/","Salt Lake City","Utah","NCAA",2,"Rocky Mountain Athletic Conference","Brad Lavoie",44980,"Small",920,"None"
"Wheaton College – Massachusetts","https://www.wheatoncollege.edu/","Norton","Massachusetts","NCAA",3,"New England Women's & Men's Athletic Conference","Kyle Hart",64980,"Small",1746,"None"
"Wheeling University","https://www.wheeling.edu/","Wheeling","West Virginia","NCAA",2,"Great Midwest Athletic Conference","Gage Bradshaw",29475,"Small",560,"Catholic"
"Whittier College","","Whittier","California","NCAA",3,"Southern California Intercollegiate Athletic Conference","","","","",""
"Widener University","https://www.widener.edu/","Chester","Pennsylvania","NCAA",3,"Middle Atlantic Conferences","Robb Chambers",54660,"Medium",2781,"None"
"Wilkes University","https://www.wilkes.edu/","Wilkes-Barre","Pennsylvania","NCAA",3,"Middle Atlantic Conferences","Jordan Drumheller",44742,"Small",1807,"None"
"William Jewell College","https://www.jewell.edu/","Liberty","Missouri","NCAA",2,"Great Lakes Valley Conference","Andrew Briones",18600,"Small",841,"None"
"William Peace University","https://www.peace.edu/","Raleigh","North Carolina","NCAA",3,"USA South Athletic Conference","Troy Humphrey",33150,"Small",562,"Presbyterian"
"William Penn University","https://www.wmpenn.edu/","Oskaloosa","Iowa","NAIA","","Heart of America Athletic Conference","Luke Christiansen",28750,"Small",1337,"Quaker"
"Williams College","https://www.williams.edu/","Williamstown","Massachusetts","NCAA",3,"New England Small College Athletic Conference","George McCormack",72170,"Medium",2070,"None"
"Williamson College of the Trades","https://www.williamson.edu/","Media","Pennsylvania","JC","","Eastern States Athletic Conference","Jim DeRose",30858,"Small",313,"None"
"Wilmington College","https://www.wilmington.edu/","Wilmington","Ohio","NCAA",3,"Ohio Athletic Conference","Brian Kingsbury",30962,"Small",889,"Quaker"
"Wilmington University","https://www.wilmu.edu/","New Castle","Delaware","NCAA",2,"Central Atlantic Collegiate Conference","Christian Zwickert",12330,"Medium",3032,"None"
"Wingate University","https://www.wingate.edu/","Wingate","North Carolina","NCAA",2,"South Atlantic Conference","Tim Boyle",50860,"Medium",2424,"None"
"Wittenberg University","https://www.wittenberg.edu/","Springfield","Ohio","NCAA",3,"North Coast Athletic Conference","Jay Owen",44966,"Small",1215,"Lutheran"
"Yale University","https://www.yale.edu/","New Haven","Connecticut","NCAA",1,"Ivy League","Andy Shay",64700,"Medium",6805,"None"
"York College of Pennsylvania","https://www.ycp.edu/","York","Pennsylvania","NCAA",3,"Capital Athletic Conference","Brandon Childs",28270,"Medium",3070,"None"
"Young Harris College","https://www.yhc.edu/","Young Harris","Georgia","NCAA",2,"Peach Belt Conference","Branden Geldart",32350,"Small",893,"Methodist"
