"school","official_website","city","state","association","division","conference","head_coach","tuition","size_category","enrollment","religious_affiliation"
"Gettysburg College","https://www.gettysburg.edu/","Gettysburg","Pennsylvania","NCAA",3,"Centennial Conference","Peter Toner",68970,"Medium",2207,"None"
"Gordon College","https://www.gordon.edu/","Wenham","Massachusetts","NCAA",3,"Commonwealth Coast Conference","Zachary Scarano",29500,"Small",1221,"Christian (General)"
"Goucher College","https://www.goucher.edu/","Baltimore","Maryland","NCAA",3,"Landmark Conference","Kyle Hannan",53100,"Small",932,"None"
"Greensboro College","https://www.greensboro.edu/","Greensboro","North Carolina","NCAA",3,"USA South Athletic Conference","Nate Bates",20300,"Small",639,"Methodist"
"Grove City College","https://www.gcc.edu/","Grove City","Pennsylvania","NCAA",3,"Presidents' Athletic Conference","Ben Suchomma",22570,"Medium",2197,"Christian (General)"
"Guilford College","https://www.guilford.edu/","Greensboro","North Carolina","NCAA",3,"Old Dominion Athletic Conference","Dylan Neisler",41140,"Small",1085,"None"
"Gwynedd Mercy University","https://www.gmercyu.edu/","Gwynedd Valley","Pennsylvania","NCAA",3,"Colonial States Athletic Conference","Blase Cesarone",40560,"Small",1041,"Catholic"
"Hamilton College","https://www.hamilton.edu/","Clinton","New York","NCAA",3,"New England Small College Athletic Conference","Scott Barnard",71970,"Medium",2030,"None"
"Hampden-Sydney College","https://www.hsc.edu/","Hampden Sydney","Virginia","NCAA",3,"Old Dominion Athletic Conference","Jason Rostan",52388,"Small",873,"None"
"Hampton University","https://www.hamptonu.edu/","Hampton","Virginia","NCAA",1,"Colonial Athletic Association","Vincent Culpepper",29162,"Medium",3132,"None"
"Hanover College","https://www.hanover.edu/","Hanover","Indiana","NCAA",3,"Heartland Collegiate Athletic Conference","Michelangelo Butturi",44777,"Small",1024,"None"
"Harford Community College","https://www.harford.edu/","Bel Air","Maryland","JC","","MD JUCO","Aaron Verardi",8630,"Small",1627,"None"
"Hartwick College","https://www.hartwick.edu/","Oneonta","New York","NCAA",3,"Empire 8 Athletic Conference","Connor Bishop",22000,"Small",1093,"None"
"Harvard University","https://college.harvard.edu/","Cambridge","Massachusetts","NCAA",1,"Ivy League","(Offensive Coordinator)Neil Hutchinson",59076,"Medium",7316,"None"
"Haverford College","https://www.haverford.edu/","Haverford","Pennsylvania","NCAA",3,"Centennial Conference","Richard Carrington",69884,"Small",1419,"None"
"Heidelberg University","https://www.heidelberg.edu/","Tiffin","Ohio","NCAA",3,"Ohio Athletic Conference","Ryan Sinnema",33628,"Small",880,"Calvinist/Reformed"
